GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CcmsService,com.ccms.service,CcmsServiceApplication,0,8,0,0,0,3,0,2,0,2
CcmsService,com.ccms.service.model,CreditCard,38,172,20,18,0,7,17,16,1,13
CcmsService,com.ccms.service.model,CreditCard.CreditCardDetail,47,224,20,18,0,10,18,21,1,19
CcmsService,com.ccms.service.model,Customer,74,407,51,33,0,14,42,28,0,28
CcmsService,com.ccms.service.model,Customer.Name,18,106,12,10,0,5,10,11,0,10
CcmsService,com.ccms.service.model,Transaction,31,136,16,14,0,6,14,13,1,11
CcmsService,com.ccms.service.model,TransactionWithCreditCardInfo,16,108,11,11,0,5,9,12,0,10
CcmsService,com.ccms.service.model,Transaction.CreditCardTransaction,13,94,8,8,0,5,7,11,0,10
CcmsService,com.ccms.service.model,Customer.Address,34,202,23,17,0,8,19,17,0,16
CcmsService,com.ccms.service.model,Transaction.TransactionDetail,34,245,23,19,0,9,19,20,0,18
CcmsService,com.ccms.service.model,TransactionWithCardId,0,23,0,0,0,10,0,5,0,5
CcmsService,com.ccms.service.utilities,AuthenticationException,0,9,0,0,0,4,0,2,0,2
CcmsService,com.ccms.service.utilities,CreditCardEnDecryption,11,155,0,0,3,31,0,4,0,4
CcmsService,com.ccms.service.utilities,Decodename,0,75,0,10,0,19,0,9,0,4
CcmsService,com.ccms.service.utilities,AccessLogFilter,8,123,0,4,4,28,1,6,1,4
CcmsService,com.ccms.service.utilities,CreditCardFormatter,0,41,0,4,0,9,0,5,0,3
CcmsService,com.ccms.service.utilities,CustomHealthIndicator,0,50,0,6,0,11,0,6,0,3
CcmsService,com.ccms.service.utilities,CreditCardLogUtil,0,38,0,0,0,8,0,2,0,2
CcmsService,com.ccms.service.utilities,ErrorResponse,0,29,0,0,0,11,0,6,0,6
CcmsService,com.ccms.service.utilities,SuccessResponse,0,29,0,0,0,11,0,6,0,6
CcmsService,com.ccms.service.utilities,HealthCheckListener,0,38,0,0,0,12,0,4,0,4
CcmsService,com.ccms.service.exception,CreditCardProcessingException,0,5,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.exception,InvalidUsernameFormatException,0,4,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.exception,InvalidRandomOperationException,0,9,0,0,0,4,0,2,0,2
CcmsService,com.ccms.service.exception,GlobalExceptionHandler,0,41,0,0,0,8,0,4,0,4
CcmsService,com.ccms.service.exception,CreditCardNotFoundException,0,10,0,0,0,4,0,2,0,2
CcmsService,com.ccms.service.exception,CustomerNotFoundException,0,5,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.exception,InvalidUsernameException,0,4,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.exception,TransactionNotFoundException,0,5,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.exception,DuplicateCreditCardException,0,4,0,0,0,2,0,1,0,1
CcmsService,com.ccms.service.service.impl,CreditCardServiceImpl,97,379,10,54,17,81,10,34,1,11
CcmsService,com.ccms.service.service.impl,CustomerServiceimpl,0,8,0,0,0,2,0,2,0,2
CcmsService,com.ccms.service.service.impl,TransactionServiceimpl,116,1130,28,54,42,216,28,42,0,28
CcmsService,com.ccms.service.controller,CustomerController,0,71,0,2,0,17,0,4,0,3
CcmsService,com.ccms.service.controller,CreditCardController,156,163,1,5,33,33,1,9,0,7
CcmsService,com.ccms.service.controller,TransactionController,145,302,17,35,40,66,15,20,0,9
CcmsService,com.ccms.service.config,WebConfig.new WebMvcConfigurer() {...},0,50,0,0,0,7,0,2,0,2
CcmsService,com.ccms.service.config,WebConfig,0,8,0,0,0,2,0,2,0,2
CcmsService,com.ccms.service.config,CorsConfig,0,29,0,0,0,8,0,2,0,2
CcmsService,com.ccms.service.kafka,AccessLogKafkaProducer,0,15,0,2,0,5,0,3,0,2
CcmsService,com.ccms.service.kafka,CreditCardKafkaConsumer,0,12,0,0,0,4,0,3,0,3
CcmsService,com.ccms.service.kafka,TransactionKafkaProducer,0,10,0,0,0,3,0,2,0,2
CcmsService,com.ccms.service.kafka,CustomerKafkaProducer,0,10,0,0,0,3,0,2,0,2
CcmsService,com.ccms.service.kafka,CustomerKafkaConsumer,0,12,0,0,0,4,0,3,0,3
CcmsService,com.ccms.service.kafka,TransactionKafkaConsumer,0,12,0,0,0,4,0,3,0,3
CcmsService,com.ccms.service.kafka,CreditCardKafkaProducer,0,10,0,0,0,3,0,2,0,2
CcmsService,com.ccms.service.kafka,AccessLogKafkaConsumer,0,12,0,0,0,4,0,3,0,3
